date,value
2014/1/1,9.6
2014/1/2,7.3
2014/1/3,5.9
2014/1/4,6.5
2014/1/5,5.4
2014/1/6,5.3
2014/1/7,5.5
2014/1/8,7.3
2014/1/9,7.2
2014/1/10,3.6
2014/1/11,4.3
2014/1/12,5.3
2014/1/13,5.1
2014/1/14,4.2
2014/1/15,3
2014/1/16,4.8
2014/1/17,5.8
2014/1/18,5.2
2014/1/19,4.2
2014/1/20,4.8
2014/1/21,6.3
2014/1/22,5.5
2014/1/23,6.5
2014/1/24,7.2
2014/1/25,8.4
2014/1/26,9.5
2014/1/27,4.6
2014/1/28,8.8
2014/1/29,8.9
2014/1/30,10.3
2014/1/31,9.9
2014/2/1,7.9
2014/2/2,9.3
2014/2/3,12.8
2014/2/4,5
2014/2/5,1.6
2014/2/6,2.7
2014/2/7,4
2014/2/8,0.3
2014/2/9,5.4
2014/2/10,6
2014/2/11,3.3
2014/2/12,4.8
2014/2/13,5.3
2014/2/14,1.4
2014/2/15,3.9
2014/2/16,6.9
2014/2/17,7.3
2014/2/18,4.7
2014/2/19,4.7
2014/2/20,4.6
2014/2/21,5.5
2014/2/22,5.1
2014/2/23,5.6
2014/2/24,6.3
2014/2/25,8.2
2014/2/26,10
2014/2/27,10
2014/2/28,13.8
2014/3/1,8.9
2014/3/2,5.6
2014/3/3,6.6
2014/3/4,6.9
2014/3/5,6.5
2014/3/6,5.4
2014/3/7,4.4
2014/3/8,5.9
2014/3/9,6.4
2014/3/10,4.9
2014/3/11,6.1
2014/3/12,11
2014/3/13,12.3
2014/3/14,10.1
2014/3/15,8.3
2014/3/16,10.8
2014/3/17,12.1
2014/3/18,15.4
2014/3/19,11.2
2014/3/20,8.1
2014/3/21,10.1
2014/3/22,9.3
2014/3/23,11.6
2014/3/24,13.6
2014/3/25,16.6
2014/3/26,16.4
2014/3/27,12.6
2014/3/28,14.8
2014/3/29,17.7
2014/3/30,16.5
2014/3/31,15.7
2014/4/1,13.9
2014/4/2,15.2
2014/4/3,13.8
2014/4/4,15.3
2014/4/5,11.4
2014/4/6,9
2014/4/7,11.4
2014/4/8,15.8
2014/4/9,15.5
2014/4/10,16.1
2014/4/11,12.9
2014/4/12,14.6
2014/4/13,14.4
2014/4/14,14
2014/4/15,16.3
2014/4/16,18.7
2014/4/17,17.7
2014/4/18,11.8
2014/4/19,11.7
2014/4/20,11
2014/4/21,13.4
2014/4/22,15.2
2014/4/23,16.2
2014/4/24,16.6
2014/4/25,17.8
2014/4/26,18.2
2014/4/27,18.1
2014/4/28,18.6
2014/4/29,17.8
2014/4/30,16.7
2014/5/1,20.6
2014/5/2,21
2014/5/3,21.3
2014/5/4,18.6
2014/5/5,18.1
2014/5/6,14.3
2014/5/7,16.5
2014/5/8,18.7
2014/5/9,19.3
2014/5/10,19.8
2014/5/11,20.6
2014/5/12,19.6
2014/5/13,19.3
2014/5/14,21.9
2014/5/15,19.9
2014/5/16,21.5
2014/5/17,21.1
2014/5/18,20.5
2014/5/19,21.1
2014/5/20,21.7
2014/5/21,17.5
2014/5/22,18.6
2014/5/23,17.8
2014/5/24,20.6
2014/5/25,22.7
2014/5/26,21.3
2014/5/27,21.4
2014/5/28,22.7
2014/5/29,23.1
2014/5/30,24.1
2014/5/31,25.6
2014/6/1,26.6
2014/6/2,25.5
2014/6/3,24
2014/6/4,24.3
2014/6/5,21.2
2014/6/6,19.9
2014/6/7,18.4
2014/6/8,20.5
2014/6/9,22.9
2014/6/10,23.5
2014/6/11,22.2
2014/6/12,22
2014/6/13,24.9
2014/6/14,24.7
2014/6/15,24.4
2014/6/16,25
2014/6/17,24.3
2014/6/18,23.2
2014/6/19,24.8
2014/6/20,24.6
2014/6/21,24.6
2014/6/22,22.5
2014/6/23,24.2
2014/6/24,22.6
2014/6/25,22.6
2014/6/26,23.6
2014/6/27,23.9
2014/6/28,22.8
2014/6/29,23.3
2014/6/30,23.6
2014/7/1,25.3
2014/7/2,25.8
2014/7/3,24.8
2014/7/4,21.6
2014/7/5,22
2014/7/6,24.2
2014/7/7,23.4
2014/7/8,26.8
2014/7/9,24.2
2014/7/10,26.6
2014/7/11,28.5
2014/7/12,29.2
2014/7/13,26.9
2014/7/14,28.5
2014/7/15,28.2
2014/7/16,28
2014/7/17,27.1
2014/7/18,24.9
2014/7/19,23.8
2014/7/20,24.5
2014/7/21,25
2014/7/22,27.7
2014/7/23,29.4
2014/7/24,29.9
2014/7/25,30.5
2014/7/26,30.5
2014/7/27,30.1
2014/7/28,27.7
2014/7/29,27.6
2014/7/30,27.9
2014/7/31,29.5
2014/8/1,29.8
2014/8/2,30.9
2014/8/3,31
2014/8/4,30.5
2014/8/5,31.1
2014/8/6,30.8
2014/8/7,29.7
2014/8/8,29
2014/8/9,25.4
2014/8/10,26.3
2014/8/11,29.4
2014/8/12,26.3
2014/8/13,26.7
2014/8/14,27.1
2014/8/15,29.5
2014/8/16,27
2014/8/17,26.2
2014/8/18,29.1
2014/8/19,30.3
2014/8/20,31.1
2014/8/21,30.5
2014/8/22,30.2
2014/8/23,27.6
2014/8/24,28.4
2014/8/25,27
2014/8/26,25.2
2014/8/27,21.2
2014/8/28,21.1
2014/8/29,23.3
2014/8/30,22.6
2014/8/31,23.2
2014/9/1,21.8
2014/9/2,24.5
2014/9/3,24.1
2014/9/4,25.2
2014/9/5,27.8
2014/9/6,27.3
2014/9/7,21.7
2014/9/8,22.1
2014/9/9,23.5
2014/9/10,23.4
2014/9/11,21.8
2014/9/12,23.5
2014/9/13,23.1
2014/9/14,23.8
2014/9/15,24.1
2014/9/16,25.1
2014/9/17,23.3
2014/9/18,22.3
2014/9/19,22.3
2014/9/20,20.5
2014/9/21,21.3
2014/9/22,22.6
2014/9/23,22.1
2014/9/24,22.4
2014/9/25,24.4
2014/9/26,22.9
2014/9/27,20.2
2014/9/28,21.7
2014/9/29,23.5
2014/9/30,24.7
2014/10/1,21.2
2014/10/2,21.7
2014/10/3,25.7
2014/10/4,24.2
2014/10/5,17.2
2014/10/6,21.3
2014/10/7,20
2014/10/8,20.3
2014/10/9,21
2014/10/10,22.4
2014/10/11,20.3
2014/10/12,18.6
2014/10/13,18.1
2014/10/14,23.1
2014/10/15,15.9
2014/10/16,16.8
2014/10/17,18.4
2014/10/18,17.5
2014/10/19,18.3
2014/10/20,19.4
2014/10/21,19
2014/10/22,16.1
2014/10/23,14.3
2014/10/24,16.7
2014/10/25,18.3
2014/10/26,20.1
2014/10/27,19.3
2014/10/28,15.8
2014/10/29,16.4
2014/10/30,16.8
2014/10/31,18.4
2014/11/1,16.8
2014/11/2,19.5
2014/11/3,18
2014/11/4,16.2
2014/11/5,15.2
2014/11/6,17.7
2014/11/7,17.7
2014/11/8,14.1
2014/11/9,14.9
2014/11/10,17.8
2014/11/11,14.5
2014/11/12,14.1
2014/11/13,15
2014/11/14,12.8
2014/11/15,12.7
2014/11/16,12.5
2014/11/17,12.1
2014/11/18,12.9
2014/11/19,12.1
2014/11/20,9.1
2014/11/21,12.3
2014/11/22,13.8
2014/11/23,14.1
2014/11/24,13.2
2014/11/25,11.1
2014/11/26,9.2
2014/11/27,12.9
2014/11/28,14.1
2014/11/29,13.8
2014/11/30,15.1
2014/12/1,13.5
2014/12/2,10.8
2014/12/3,8.2
2014/12/4,8.8
2014/12/5,8.3
2014/12/6,5.1
2014/12/7,6.2
2014/12/8,6.6
2014/12/9,7.3
2014/12/10,7.3
2014/12/11,9.6
2014/12/12,9.3
2014/12/13,7
2014/12/14,4.8
2014/12/15,5.3
2014/12/16,3.6
2014/12/17,4.3
2014/12/18,4
2014/12/19,5.4
2014/12/20,5.3
2014/12/21,8.6
2014/12/22,7.1
2014/12/23,6.3
2014/12/24,5.9
2014/12/25,6.3
2014/12/26,5.1
2014/12/27,4.6
2014/12/28,3.8
2014/12/29,4.2
2014/12/30,6.6
2014/12/31,8
